"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**";"Version1.1.1.";1;"Version1.1.1.";;;
2;"G***";"Symbol-Front-Raining";1;"LOGO";;;
3;"";"buzzardLabel";1;"";;;
4;"PAD1,PAD2";"PAD_2x1.5";2;"PAD_2x1.5";;;
5;"H4,H2,H1,H3";"HOLE_3.2mm";4;"HOLE_3.2mm";;;
6;"REF**";"Logo-Back-SolderedFULL-13mm";1;"Logo-Front-SolderedFULL-13mm";;;
7;"K1";"JST-SH_2pin_1mm_C145954";1;"JST-SH_C145954";;;
8;"FD1";"FIDUCIAL_23";1;"FIDUCIAL";;;
9;"G***";"Logo-Front-Soldered-4mm";1;"LOGO";;;
10;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
